Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"setEncryptedText(findTestObject(""Object Repository/Page_OrangeHRM/input_Password_password""), ""hUKwJTbofgPU9eVlw/CnDQ=="")",Chrome 108.0.0.0,,,2022-12-22 11:36:05,2022-12-22 11:36:06,0.391s,PASSED
"click(findTestObject(""Object Repository/Page_OrangeHRM/button_Login""))",Chrome 108.0.0.0,,,2022-12-22 11:36:06,2022-12-22 11:36:06,0.449s,PASSED
"click(findTestObject(""Object Repository/Page_OrangeHRM/a_Admin""))",Chrome 108.0.0.0,,,2022-12-22 11:36:06,2022-12-22 11:36:09,3.269s,PASSED
"takeScreenshotAsCheckpoint(""Test6"")",Chrome 108.0.0.0,,,2022-12-22 11:36:09,2022-12-22 11:36:10,0.447s,PASSED
closeBrowser(),Chrome 108.0.0.0,,,2022-12-22 11:36:10,2022-12-22 11:36:10,0.627s,PASSED
,,,,,,,
Test Cases/Test7,Chrome 108.0.0.0,,,2022-12-22 11:36:10,2022-12-22 11:36:20,9.376s,PASSED
"openBrowser("""")",Chrome 108.0.0.0,,,2022-12-22 11:36:11,2022-12-22 11:36:12,1.148s,PASSED
"navigateToUrl(""https://opensource-demo.orangehrmlive.com/web/index.php/auth/login"")",Chrome 108.0.0.0,,,2022-12-22 11:36:12,2022-12-22 11:36:13,1.238s,PASSED
"setText(findTestObject(""Object Repository/Page_OrangeHRM/input_Username_username""), ""Admin"")",Chrome 108.0.0.0,,,2022-12-22 11:36:13,2022-12-22 11:36:14,1.191s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_OrangeHRM/input_Password_password""), ""hUKwJTbofgPU9eVlw/CnDQ=="")",Chrome 108.0.0.0,,,2022-12-22 11:36:14,2022-12-22 11:36:15,0.391s,PASSED
"sendKeys(findTestObject(""Object Repository/Page_OrangeHRM/input_Password_password""), Keys.chord(ENTER))",Chrome 108.0.0.0,,,2022-12-22 11:36:15,2022-12-22 11:36:15,0.327s,PASSED
"click(findTestObject(""Object Repository/Page_OrangeHRM/a_PIM""))",Chrome 108.0.0.0,,,2022-12-22 11:36:15,2022-12-22 11:36:18,3.179s,PASSED
"takeScreenshotAsCheckpoint(""Test7"")",Chrome 108.0.0.0,,,2022-12-22 11:36:18,2022-12-22 11:36:19,1.088s,PASSED
closeBrowser(),Chrome 108.0.0.0,,,2022-12-22 11:36:19,2022-12-22 11:36:20,0.613s,PASSED
,,,,,,,
Test Cases/Test9,Chrome 108.0.0.0,,,2022-12-22 11:36:20,2022-12-22 11:36:30,9.990s,PASSED
"openBrowser("""")",Chrome 108.0.0.0,,,2022-12-22 11:36:20,2022-12-22 11:36:21,1.178s,PASSED
"navigateToUrl(""https://opensource-demo.orangehrmlive.com/web/index.php/auth/login"")",Chrome 108.0.0.0,,,2022-12-22 11:36:21,2022-12-22 11:36:22,1.226s,PASSED
"setText(findTestObject(""Object Repository/Page_OrangeHRM/input_Username_username""), ""Admin"")",Chrome 108.0.0.0,,,2022-12-22 11:36:22,2022-12-22 11:36:23,1.087s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_OrangeHRM/input_Password_password""), ""hUKwJTbofgPU9eVlw/CnDQ=="")",Chrome 108.0.0.0,,,2022-12-22 11:36:23,2022-12-22 11:36:24,0.388s,PASSED
"sendKeys(findTestObject(""Object Repository/Page_OrangeHRM/input_Password_password""), Keys.chord(ENTER))",Chrome 108.0.0.0,,,2022-12-22 11:36:24,2022-12-22 11:36:24,0.327s,PASSED
"click(findTestObject(""Object Repository/Page_OrangeHRM/a_My Info""))",Chrome 108.0.0.0,,,2022-12-22 11:36:24,2022-12-22 11:36:27,2.989s,PASSED
"takeScreenshotAsCheckpoint(""Test9"")",Chrome 108.0.0.0,,,2022-12-22 11:36:27,2022-12-22 11:36:29,1.981s,PASSED
closeBrowser(),Chrome 108.0.0.0,,,2022-12-22 11:36:29,2022-12-22 11:36:30,0.616s,PASSED
,,,,,,,
Test Cases/Test8,Chrome 108.0.0.0,,,2022-12-22 11:36:30,2022-12-22 11:36:39,9.635s,PASSED
"openBrowser("""")",Chrome 108.0.0.0,,,2022-12-22 11:36:30,2022-12-22 11:36:31,1.121s,PASSED
"navigateToUrl(""https://opensource-demo.orangehrmlive.com/web/index.php/auth/login"")",Chrome 108.0.0.0,,,2022-12-22 11:36:31,2022-12-22 11:36:32,1.122s,PASSED
"setText(findTestObject(""Object Repository/Page_OrangeHRM/input_Username_username""), ""Admin"")",Chrome 108.0.0.0,,,2022-12-22 11:36:32,2022-12-22 11:36:33,1.077s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_OrangeHRM/input_Password_password""), ""hUKwJTbofgPU9eVlw/CnDQ=="")",Chrome 108.0.0.0,,,2022-12-22 11:36:33,2022-12-22 11:36:34,0.377s,PASSED
"sendKeys(findTestObject(""Object Repository/Page_OrangeHRM/input_Password_password""), Keys.chord(ENTER))",Chrome 108.0.0.0,,,2022-12-22 11:36:34,2022-12-22 11:36:34,0.329s,PASSED
"click(findTestObject(""Object Repository/Page_OrangeHRM/a_Leave""))",Chrome 108.0.0.0,,,2022-12-22 11:36:34,2022-12-22 11:36:37,3.220s,PASSED
"takeScreenshotAsCheckpoint(""Test8"")",Chrome 108.0.0.0,,,2022-12-22 11:36:37,2022-12-22 11:36:39,1.556s,PASSED
closeBrowser(),Chrome 108.0.0.0,,,2022-12-22 11:36:39,2022-12-22 11:36:39,0.635s,PASSED
